
Epoch 3/10 train_loss=0.3243 train_acc=0.8813
Epoch 4/10 train_loss=0.3060 train_acc=0.8865
Epoch 5/10 train_loss=0.2972 train_acc=0.8946
Epoch 6/10 train_loss=0.2900 train_acc=0.8926
Epoch 7/10 train_loss=0.2936 train_acc=0.8949
Epoch 8/10 train_loss=0.2983 train_acc=0.8818
Epoch 9/10 train_loss=0.2705 train_acc=0.8990
Epoch 10/10 train_loss=0.2461 train_acc=0.9064

[5/25] Running cfg2_4x512_relu_adam_xavier_run5
Epoch 1/10 train_loss=0.3807 train_acc=0.8584
Epoch 2/10 train_loss=0.3253 train_acc=0.8797
Epoch 3/10 train_loss=0.2885 train_acc=0.8940
Epoch 4/10 train_loss=0.2702 train_acc=0.9003
Epoch 5/10 train_loss=0.2361 train_acc=0.9121
Epoch 6/10 train_loss=0.2323 train_acc=0.9130
Epoch 7/10 train_loss=0.2233 train_acc=0.9165
Epoch 8/10 train_loss=0.2308 train_acc=0.9114
Epoch 9/10 train_loss=0.1893 train_acc=0.9288
Epoch 10/10 train_loss=0.2017 train_acc=0.9249

[6/25] Running cfg3_4x512_tanh_nesterov_xavier_run6
Epoch 1/15 train_loss=0.4070 train_acc=0.8496
Epoch 2/15 train_loss=0.3685 train_acc=0.8648
Epoch 3/15 train_loss=0.3320 train_acc=0.8767
Epoch 4/15 train_loss=0.3050 train_acc=0.8860
Epoch 5/15 train_loss=0.2768 train_acc=0.8972
Epoch 6/15 train_loss=0.2477 train_acc=0.9070
Epoch 7/15 train_loss=0.2349 train_acc=0.9129
Epoch 8/15 train_loss=0.2377 train_acc=0.9091
Epoch 9/15 train_loss=0.2326 train_acc=0.9087
Epoch 10/15 train_loss=0.2131 train_acc=0.9194
Epoch 11/15 train_loss=0.2200 train_acc=0.9171
Epoch 12/15 train_loss=0.2214 train_acc=0.9138
Epoch 13/15 train_loss=0.1958 train_acc=0.9258
Epoch 14/15 train_loss=0.1787 train_acc=0.9319
Epoch 15/15 train_loss=0.1772 train_acc=0.9315

[7/25] Running cfg1_3x512_relu_adam_he_run7
Epoch 1/10 train_loss=0.3907 train_acc=0.8558
Epoch 2/10 train_loss=0.3543 train_acc=0.8711
Epoch 3/10 train_loss=0.3178 train_acc=0.8854
Epoch 4/10 train_loss=0.3067 train_acc=0.8873
Epoch 5/10 train_loss=0.2929 train_acc=0.8925
Epoch 6/10 train_loss=0.2712 train_acc=0.8969
Epoch 7/10 train_loss=0.2960 train_acc=0.8882
Epoch 8/10 train_loss=0.2765 train_acc=0.8960
Epoch 9/10 train_loss=0.2974 train_acc=0.8870
Epoch 10/10 train_loss=0.2591 train_acc=0.9029

[8/25] Running cfg2_4x512_relu_adam_xavier_run8
Epoch 1/10 train_loss=0.3791 train_acc=0.8619
Epoch 2/10 train_loss=0.3057 train_acc=0.8863
Epoch 3/10 train_loss=0.3037 train_acc=0.8886
Epoch 4/10 train_loss=0.2659 train_acc=0.8982
Epoch 5/10 train_loss=0.2610 train_acc=0.9011
Epoch 6/10 train_loss=0.2295 train_acc=0.9148
Epoch 7/10 train_loss=0.2564 train_acc=0.9006
Epoch 8/10 train_loss=0.2220 train_acc=0.9139
Epoch 9/10 train_loss=0.1945 train_acc=0.9247
Epoch 10/10 train_loss=0.1939 train_acc=0.9264

[9/25] Running cfg3_4x512_tanh_nesterov_xavier_run9
Epoch 1/15 train_loss=0.3888 train_acc=0.8574
Epoch 2/15 train_loss=0.3575 train_acc=0.8673
Epoch 3/15 train_loss=0.3245 train_acc=0.8792
Epoch 4/15 train_loss=0.2915 train_acc=0.8925
Epoch 5/15 train_loss=0.2806 train_acc=0.8960
Epoch 6/15 train_loss=0.2939 train_acc=0.8918
Epoch 7/15 train_loss=0.2427 train_acc=0.9070
Epoch 8/15 train_loss=0.2510 train_acc=0.9048
Epoch 9/15 train_loss=0.2466 train_acc=0.9062
Epoch 10/15 train_loss=0.2147 train_acc=0.9190
Epoch 11/15 train_loss=0.2222 train_acc=0.9148
Epoch 12/15 train_loss=0.2183 train_acc=0.9165
Epoch 13/15 train_loss=0.1834 train_acc=0.9296
Epoch 14/15 train_loss=0.1816 train_acc=0.9320
Epoch 15/15 train_loss=0.1900 train_acc=0.9271

[10/25] Running cfg1_3x512_relu_adam_he_run10
Epoch 1/10 train_loss=0.3736 train_acc=0.8606
Epoch 2/10 train_loss=0.3722 train_acc=0.8674
Epoch 3/10 train_loss=0.3250 train_acc=0.8800
Epoch 4/10 train_loss=0.2968 train_acc=0.8925
Epoch 5/10 train_loss=0.3099 train_acc=0.8834
Epoch 6/10 train_loss=0.3112 train_acc=0.8858
Epoch 7/10 train_loss=0.2635 train_acc=0.9013
Epoch 8/10 train_loss=0.3886 train_acc=0.8690
Epoch 9/10 train_loss=0.2707 train_acc=0.8981
Epoch 10/10 train_loss=0.2475 train_acc=0.9080

[11/25] Running cfg2_4x512_relu_adam_xavier_run11
